crash_id,victim_number,state,month,year,dayweek,time,crash_type,bus_involvement,heavy_rigid_truck_involvement,articulated_truck_involvement,speed_limit,lga_name,road_type,christmas_period,easter_period,age_group,time_of_day,time_cat,holiday,vehicle_type_involved,lga_code,dateID,rushID,ageID,daytimeID,road_typeID,speed_limitID,holidayID,vehicle_typeID
20246001,1,Tas,12,2024,Friday,19:40:00,Multiple,No,No,No,Very High,West Tamar,National or State Highway,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,65810,202412,1.0,4.0,1.0,3.0,1.0,3,1.0
20244081,1,SA,12,2024,Friday,22:42:00,Single,No,No,No,Med,Mid Murray,Local Road,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,44210,202412,1.0,4.0,1.0,2.0,3.0,3,1.0
20241087,1,NSW,12,2024,Friday,23:00:00,Single,No,No,No,High,Blue Mountains,National or State Highway,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,10900,202412,1.0,4.0,1.0,3.0,2.0,3,1.0
20241054,1,NSW,12,2024,Friday,23:10:00,Multiple,No,No,Yes,Very High,Upper Lachlan,National or State Highway,No,No,40_to_64,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,17640,202412,1.0,4.0,1.0,3.0,1.0,3,2.0
20244042,1,SA,12,2024,Monday,01:00:00,Single,No,No,No,Very High,Wattle Range,Local Road,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,48340,202412,1.0,4.0,1.0,2.0,1.0,3,1.0
20242183,1,Vic,12,2024,Monday,01:09:00,Single,,,,,,,No,No,26_to_39,Night,Not Rush,NoHoliday,,,202412,1.0,3.0,1.0,,,3,
20242171,1,Vic,12,2024,Monday,02:40:00,Multiple,,,,,,,Yes,No,26_to_39,Night,Not Rush,Christmas,,,202412,1.0,3.0,1.0,,,1,
20243246,1,Qld,12,2024,Monday,09:00:00,Single,No,No,No,High,Cairns,Collector Road,No,No,65_to_74,Day,Rush,NoHoliday,No Heavy Vehicle Involved,32080,202412,2.0,5.0,2.0,6.0,2.0,3,1.0
20248007,1,ACT,12,2024,Monday,10:20:00,Single,No,No,No,,Unincorporated ACT,Local Road,Yes,No,75_or_older,Day,Not Rush,Christmas,No Heavy Vehicle Involved,89399,202412,1.0,6.0,2.0,2.0,,1,1.0
20241101,1,NSW,12,2024,Monday,10:48:00,Single,No,No,Yes,High,Wollongong,National or State Highway,No,No,17_to_25,Day,Not Rush,NoHoliday,Heavy Vehicle Involved,18450,202412,1.0,2.0,2.0,3.0,2.0,3,2.0
20241216,1,NSW,12,2024,Monday,12:05:00,Single,No,No,No,High,Penrith,Collector Road,Yes,No,0_to_16,Day,Not Rush,Christmas,No Heavy Vehicle Involved,16350,202412,1.0,1.0,2.0,6.0,2.0,1,1.0
20241300,1,NSW,12,2024,Monday,13:58:00,Multiple,No,No,No,Very High,Upper Hunter,National or State Highway,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,17620,202412,1.0,3.0,2.0,3.0,1.0,3,1.0
20243007,1,Qld,12,2024,Monday,14:00:00,Multiple,No,No,No,Very High,South Burnett,National or State Highway,Yes,No,65_to_74,Day,Not Rush,Christmas,No Heavy Vehicle Involved,36630,202412,1.0,5.0,2.0,3.0,1.0,1,1.0
20241278,1,NSW,12,2024,Monday,14:43:00,Single,No,No,No,Very High,Mid-Western Regional,Arterial Road,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,15270,202412,1.0,3.0,2.0,1.0,1.0,3,1.0
20245005,1,WA,12,2024,Monday,15:52:00,Single,No,No,No,Very High,,,Yes,No,26_to_39,Day,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,3.0,2.0,,1.0,1,1.0
20241149,1,NSW,12,2024,Monday,16:00:00,Single,No,No,No,Low,Canterbury-Bankstown,Collector Road,No,No,65_to_74,Day,Rush,NoHoliday,No Heavy Vehicle Involved,11570,202412,2.0,5.0,2.0,6.0,4.0,3,1.0
20247029,1,NT,12,2024,Monday,19:35:00,Single,No,No,No,,,,Yes,No,40_to_64,Night,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,4.0,1.0,,,1,1.0
20242156,1,Vic,12,2024,Monday,20:34:00,Single,,,,,,,Yes,No,17_to_25,Night,Not Rush,Christmas,,,202412,1.0,2.0,1.0,,,1,
20245143,1,WA,12,2024,Monday,21:04:00,Single,No,No,No,High,,,Yes,No,26_to_39,Night,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,3.0,1.0,,2.0,1,1.0
20245039,1,WA,12,2024,Monday,21:38:00,Single,No,No,No,Very High,,,Yes,No,40_to_64,Night,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,4.0,1.0,,1.0,1,1.0
20245039,2,WA,12,2024,Monday,21:38:00,Single,No,No,No,Very High,,,Yes,No,40_to_64,Night,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,4.0,1.0,,1.0,1,1.0
20242087,1,Vic,12,2024,Saturday,02:27:00,Single,,,,Very High,Mitchell,National or State Highway,No,No,40_to_64,Night,Not Rush,NoHoliday,,24850,202412,1.0,4.0,1.0,3.0,1.0,3,
20241068,1,NSW,12,2024,Saturday,03:30:00,Multiple,Yes,No,Yes,Very High,Greater Hume,National or State Highway,No,No,26_to_39,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,13340,202412,1.0,3.0,1.0,3.0,1.0,3,2.0
20243273,1,Qld,12,2024,Saturday,04:00:00,Single,No,No,No,Very High,Southern Downs,Local Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,36660,202412,1.0,2.0,1.0,2.0,1.0,3,1.0
20242141,1,Vic,12,2024,Saturday,04:17:00,Multiple,,,,,,,No,No,17_to_25,Night,Not Rush,NoHoliday,,,202412,1.0,2.0,1.0,,,3,
20245045,1,WA,12,2024,Saturday,04:20:00,Single,No,No,No,High,,,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,2.0,1.0,,2.0,3,1.0
20245093,1,WA,12,2024,Saturday,08:13:00,Single,No,No,No,High,,,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,3.0,2.0,,2.0,3,1.0
20244020,1,SA,12,2024,Saturday,10:25:00,Multiple,No,No,No,Very High,Barossa,Sub-arterial Road,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,40310,202412,1.0,5.0,2.0,5.0,1.0,3,1.0
20244055,1,SA,12,2024,Saturday,10:36:00,Multiple,No,No,No,Very High,Wattle Range,National or State Highway,Yes,No,40_to_64,Day,Not Rush,Christmas,No Heavy Vehicle Involved,48340,202412,1.0,4.0,2.0,3.0,1.0,1,1.0
20244055,2,SA,12,2024,Saturday,10:36:00,Multiple,No,No,No,Very High,Wattle Range,National or State Highway,Yes,No,65_to_74,Day,Not Rush,Christmas,No Heavy Vehicle Involved,48340,202412,1.0,5.0,2.0,3.0,1.0,1,1.0
20242095,1,Vic,12,2024,Saturday,11:35:00,Single,,,,,,,No,No,65_to_74,Day,Not Rush,NoHoliday,,,202412,1.0,5.0,2.0,,,3,
20245100,1,WA,12,2024,Saturday,11:40:00,Single,No,Yes,No,Very High,,,No,No,40_to_64,Day,Not Rush,NoHoliday,Heavy Vehicle Involved,,202412,1.0,4.0,2.0,,1.0,3,2.0
20241094,1,NSW,12,2024,Saturday,12:10:00,Multiple,No,No,No,Med,Port Macquarie-Hastings,National or State Highway,Yes,No,65_to_74,Day,Not Rush,Christmas,No Heavy Vehicle Involved,16380,202412,1.0,5.0,2.0,3.0,3.0,1,1.0
20243160,1,Qld,12,2024,Saturday,14:00:00,Multiple,No,No,No,Very High,Mackay,National or State Highway,Yes,No,65_to_74,Day,Not Rush,Christmas,No Heavy Vehicle Involved,34770,202412,1.0,5.0,2.0,3.0,1.0,1,1.0
20243160,2,Qld,12,2024,Saturday,14:00:00,Multiple,No,No,No,Very High,Mackay,National or State Highway,Yes,No,75_or_older,Day,Not Rush,Christmas,No Heavy Vehicle Involved,34770,202412,1.0,6.0,2.0,3.0,1.0,1,1.0
20243209,1,Qld,12,2024,Saturday,14:00:00,Multiple,No,No,No,Med,Douglas,Local Road,Yes,No,26_to_39,Day,Not Rush,Christmas,No Heavy Vehicle Involved,32810,202412,1.0,3.0,2.0,2.0,3.0,1,1.0
20244001,1,SA,12,2024,Saturday,14:50:00,Multiple,No,No,No,Very High,Yankalilla,Arterial Road,Yes,No,40_to_64,Day,Not Rush,Christmas,No Heavy Vehicle Involved,48750,202412,1.0,4.0,2.0,1.0,1.0,1,1.0
20243243,1,Qld,12,2024,Saturday,15:00:00,Multiple,No,Yes,No,High,Logan,Sub-arterial Road,No,No,40_to_64,Day,Not Rush,NoHoliday,Heavy Vehicle Involved,34590,202412,1.0,4.0,2.0,5.0,2.0,3,2.0
20245119,1,WA,12,2024,Saturday,15:10:00,Single,No,No,No,High,,,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,4.0,2.0,,2.0,3,1.0
20246016,1,Tas,12,2024,Saturday,15:18:00,Single,No,No,No,Very High,Dorset,National or State Highway,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,61810,202412,1.0,5.0,2.0,3.0,1.0,3,1.0
20241119,1,NSW,12,2024,Saturday,15:25:00,Multiple,No,No,No,Very High,Armidale Regional,Local Road,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,10180,202412,1.0,4.0,2.0,2.0,1.0,3,1.0
20241119,2,NSW,12,2024,Saturday,15:25:00,Multiple,No,No,No,Very High,Armidale Regional,Local Road,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,10180,202412,1.0,3.0,2.0,2.0,1.0,3,1.0
20245133,1,WA,12,2024,Saturday,16:10:00,Single,No,No,No,Very High,,,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,4.0,2.0,,1.0,3,1.0
20245069,1,WA,12,2024,Saturday,20:47:00,Single,No,No,No,High,,,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,4.0,1.0,,2.0,3,1.0
20241169,1,NSW,12,2024,Saturday,21:30:00,Single,No,No,No,High,Nambucca Valley,National or State Highway,No,No,26_to_39,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,15700,202412,1.0,3.0,1.0,3.0,2.0,3,1.0
20245161,1,WA,12,2024,Saturday,22:40:00,Single,No,No,No,High,,,No,No,26_to_39,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,3.0,1.0,,2.0,3,1.0
20241291,1,NSW,12,2024,Sunday,02:00:00,Multiple,No,No,Yes,Very High,Narromine,National or State Highway,No,No,26_to_39,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,15850,202412,1.0,3.0,1.0,3.0,1.0,3,2.0
20243036,1,Qld,12,2024,Sunday,04:00:00,Single,No,No,No,Very High,Fraser Coast,Local Road,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,33220,202412,1.0,4.0,1.0,2.0,1.0,3,1.0
20244026,1,SA,12,2024,Sunday,06:35:00,Single,No,No,No,Med,Unincorporated SA,Local Road,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,49399,202412,1.0,4.0,2.0,2.0,3.0,3,1.0
20241077,1,NSW,12,2024,Sunday,08:09:00,Single,No,No,No,Med,Shellharbour,Collector Road,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,16900,202412,1.0,6.0,2.0,6.0,3.0,3,1.0
20241028,1,NSW,12,2024,Sunday,08:20:00,Multiple,No,No,No,Med,Wollongong,Collector Road,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,18450,202412,1.0,6.0,2.0,6.0,3.0,3,1.0
20241022,1,NSW,12,2024,Sunday,11:20:00,Single,No,No,No,Very High,Narrabri,Sub-arterial Road,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,15750,202412,1.0,6.0,2.0,5.0,1.0,3,1.0
20243015,1,Qld,12,2024,Sunday,12:00:00,Multiple,No,No,No,High,Logan,Local Road,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,34590,202412,1.0,4.0,2.0,2.0,2.0,3,1.0
20245068,1,WA,12,2024,Sunday,12:07:00,Single,No,No,No,Low,,,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,6.0,2.0,,4.0,3,1.0
20242229,1,Vic,12,2024,Sunday,12:23:00,Single,,,,,,,No,No,17_to_25,Day,Not Rush,NoHoliday,,,202412,1.0,2.0,2.0,,,3,
20244023,1,SA,12,2024,Sunday,12:35:00,Single,No,No,No,Very High,Barossa,Sub-arterial Road,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,40310,202412,1.0,5.0,2.0,5.0,1.0,3,1.0
20241098,1,NSW,12,2024,Sunday,12:50:00,Single,No,No,No,Very High,Nambucca Valley,Sub-arterial Road,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,15700,202412,1.0,3.0,2.0,5.0,1.0,3,1.0
20243114,1,Qld,12,2024,Sunday,13:00:00,Single,No,No,No,Very High,Cook,Sub-arterial Road,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,32500,202412,1.0,4.0,2.0,5.0,1.0,3,1.0
20243114,2,Qld,12,2024,Sunday,13:00:00,Single,No,No,No,Very High,Cook,Sub-arterial Road,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,32500,202412,1.0,4.0,2.0,5.0,1.0,3,1.0
20245092,1,WA,12,2024,Sunday,13:25:00,Single,No,No,No,High,,,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,6.0,2.0,,2.0,3,1.0
20241040,1,NSW,12,2024,Sunday,14:15:00,Multiple,No,No,No,Very High,Tenterfield,National or State Highway,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,17400,202412,1.0,4.0,2.0,3.0,1.0,3,1.0
20242188,1,Vic,12,2024,Sunday,14:45:00,Single,,,,Very High,Greater Bendigo,Sub-arterial Road,Yes,No,40_to_64,Day,Not Rush,Christmas,,22620,202412,1.0,4.0,2.0,5.0,1.0,1,
20241174,1,NSW,12,2024,Sunday,14:48:00,Multiple,No,No,No,High,Central Coast,Arterial Road,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,11650,202412,1.0,6.0,2.0,1.0,2.0,3,1.0
20241088,1,NSW,12,2024,Sunday,16:00:00,Multiple,No,No,No,Very High,Tamworth Regional,Arterial Road,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,17310,202412,1.0,3.0,2.0,1.0,1.0,3,1.0
20245031,1,WA,12,2024,Sunday,17:00:00,Single,No,No,No,High,,,No,No,26_to_39,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,3.0,2.0,,2.0,3,1.0
20242136,1,Vic,12,2024,Sunday,17:48:00,Multiple,,Yes,,Very High,Whittlesea,Arterial Road,No,No,17_to_25,Day,Not Rush,NoHoliday,Heavy Vehicle Involved,27070,202412,1.0,2.0,2.0,1.0,1.0,3,2.0
20241255,1,NSW,12,2024,Sunday,18:20:00,Multiple,No,No,No,Very High,Hilltops,Arterial Road,No,No,40_to_64,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,13910,202412,1.0,4.0,1.0,1.0,1.0,3,1.0
20242227,1,Vic,12,2024,Sunday,18:45:00,Single,,,,,,,No,No,26_to_39,Night,Not Rush,NoHoliday,,,202412,1.0,3.0,1.0,,,3,
20241053,1,NSW,12,2024,Sunday,22:19:00,Single,No,No,No,Very High,Forbes,Arterial Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,12900,202412,1.0,2.0,1.0,1.0,1.0,3,1.0
20241053,2,NSW,12,2024,Sunday,22:19:00,Single,No,No,No,Very High,Forbes,Arterial Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,12900,202412,1.0,2.0,1.0,1.0,1.0,3,1.0
20243046,1,Qld,12,2024,Sunday,23:00:00,Single,No,No,No,High,Toowoomba,Collector Road,No,No,0_to_16,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,36910,202412,1.0,1.0,1.0,6.0,2.0,3,1.0
20243046,2,Qld,12,2024,Sunday,23:00:00,Single,No,No,No,High,Toowoomba,Collector Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,36910,202412,1.0,2.0,1.0,6.0,2.0,3,1.0
20245107,1,WA,12,2024,Sunday,23:12:00,Single,No,No,No,High,,,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,2.0,1.0,,2.0,3,1.0
20241080,1,NSW,12,2024,Thursday,01:39:00,Single,No,No,No,High,Lake Macquarie,Arterial Road,No,No,17_to_25,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,14650,202412,1.0,2.0,1.0,1.0,2.0,3,1.0
20242006,1,Vic,12,2024,Thursday,09:10:00,Multiple,,,,,,,No,No,40_to_64,Day,Not Rush,NoHoliday,,,202412,1.0,4.0,2.0,,,3,
20245130,1,WA,12,2024,Thursday,09:50:00,Single,No,No,No,Very High,,,Yes,No,40_to_64,Day,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,4.0,2.0,,1.0,1,1.0
20243044,1,Qld,12,2024,Thursday,12:00:00,Multiple,No,No,Yes,Very High,Livingstone,National or State Highway,No,No,17_to_25,Day,Not Rush,NoHoliday,Heavy Vehicle Involved,34530,202412,1.0,2.0,2.0,3.0,1.0,3,2.0
20246009,1,Tas,12,2024,Thursday,12:28:00,Multiple,No,No,No,High,Northern Midlands,Sub-arterial Road,Yes,No,65_to_74,Day,Not Rush,Christmas,No Heavy Vehicle Involved,64610,202412,1.0,5.0,2.0,5.0,2.0,1,1.0
20241274,1,NSW,12,2024,Thursday,15:40:00,Multiple,No,No,No,Very High,Blacktown,National or State Highway,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,10750,202412,1.0,6.0,2.0,3.0,1.0,3,1.0
20242073,1,Vic,12,2024,Thursday,16:27:00,Multiple,,,,,,,No,No,17_to_25,Day,Rush,NoHoliday,,,202412,2.0,2.0,2.0,,,3,
20241240,1,NSW,12,2024,Thursday,17:25:00,Single,No,No,No,High,Dubbo Regional,National or State Highway,No,No,,Day,Rush,NoHoliday,No Heavy Vehicle Involved,12390,202412,2.0,,2.0,3.0,2.0,3,1.0
20242035,1,Vic,12,2024,Thursday,22:02:00,Single,,,,,,,No,No,75_or_older,Night,Not Rush,NoHoliday,,,202412,1.0,6.0,1.0,,,3,
20243176,1,Qld,12,2024,Tuesday,04:00:00,Single,No,No,No,High,Cairns,Collector Road,Yes,No,17_to_25,Night,Not Rush,Christmas,No Heavy Vehicle Involved,32080,202412,1.0,2.0,1.0,6.0,2.0,1,1.0
20245006,1,WA,12,2024,Tuesday,06:54:00,Single,No,No,No,High,,,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,5.0,2.0,,2.0,3,1.0
20241181,1,NSW,12,2024,Tuesday,08:30:00,Single,No,No,Yes,Very High,Balranald,National or State Highway,Yes,No,40_to_64,Day,Not Rush,Christmas,Heavy Vehicle Involved,10300,202412,1.0,4.0,2.0,3.0,1.0,1,2.0
20243110,1,Qld,12,2024,Tuesday,11:00:00,Single,No,No,No,High,Lockhart River,Local Road,Yes,No,17_to_25,Day,Not Rush,Christmas,No Heavy Vehicle Involved,34570,202412,1.0,2.0,2.0,2.0,2.0,1,1.0
20242037,1,Vic,12,2024,Tuesday,13:20:00,Single,,,,Very High,Golden Plains,Sub-arterial Road,No,No,26_to_39,Day,Not Rush,NoHoliday,,22490,202412,1.0,3.0,2.0,5.0,1.0,3,
20244044,1,SA,12,2024,Tuesday,13:30:00,Single,No,No,No,Very High,Light,Sub-arterial Road,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,43650,202412,1.0,5.0,2.0,5.0,1.0,3,1.0
20243090,1,Qld,12,2024,Tuesday,14:00:00,Single,No,No,No,High,Ipswich,,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,33960,202412,1.0,4.0,2.0,,2.0,3,1.0
20243147,1,Qld,12,2024,Tuesday,15:00:00,Single,No,No,No,High,Cassowary Coast,National or State Highway,No,No,65_to_74,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,32260,202412,1.0,5.0,2.0,3.0,2.0,3,1.0
20245083,1,WA,12,2024,Tuesday,17:58:00,Single,No,No,No,Very High,,,No,No,17_to_25,Day,Rush,NoHoliday,No Heavy Vehicle Involved,,202412,2.0,2.0,2.0,,1.0,3,1.0
20244019,1,SA,12,2024,Tuesday,18:30:00,Single,No,No,No,Very High,Tumby Bay,Collector Road,Yes,No,40_to_64,Night,Not Rush,Christmas,No Heavy Vehicle Involved,47910,202412,1.0,4.0,1.0,6.0,1.0,1,1.0
20241194,1,NSW,12,2024,Tuesday,21:10:00,Multiple,No,Yes,Yes,High,Liverpool,Arterial Road,No,No,40_to_64,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,14900,202412,1.0,4.0,1.0,1.0,2.0,3,2.0
20241139,1,NSW,12,2024,Tuesday,22:55:00,Multiple,Yes,No,No,Med,Cumberland,Local Road,No,No,17_to_25,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,12380,202412,1.0,2.0,1.0,2.0,3.0,3,2.0
20241197,1,NSW,12,2024,Tuesday,23:55:00,Multiple,No,No,Yes,Very High,Muswellbrook,National or State Highway,No,No,17_to_25,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,15650,202412,1.0,2.0,1.0,3.0,1.0,3,2.0
20243220,1,Qld,12,2024,Wednesday,00:00:00,Single,No,No,No,Very High,Cassowary Coast,Collector Road,Yes,No,26_to_39,Night,Not Rush,Christmas,No Heavy Vehicle Involved,32260,202412,1.0,3.0,1.0,6.0,1.0,1,1.0
20243267,1,Qld,12,2024,Wednesday,04:00:00,Multiple,No,No,No,Very High,Moreton Bay,National or State Highway,No,No,26_to_39,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,35010,202412,1.0,3.0,1.0,3.0,1.0,3,1.0
20241057,1,NSW,12,2024,Wednesday,12:25:00,Single,No,No,No,Very High,Ballina,National or State Highway,No,No,75_or_older,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,10250,202412,1.0,6.0,2.0,3.0,1.0,3,1.0
20245164,1,WA,12,2024,Wednesday,12:54:00,Single,No,No,No,Very High,,,No,No,40_to_64,Day,Not Rush,NoHoliday,No Heavy Vehicle Involved,,202412,1.0,4.0,2.0,,1.0,3,1.0
20243174,1,Qld,12,2024,Wednesday,16:00:00,Multiple,No,No,No,High,Logan,National or State Highway,Yes,No,75_or_older,Day,Not Rush,Christmas,No Heavy Vehicle Involved,34590,202412,1.0,6.0,2.0,3.0,2.0,1,1.0
20242148,1,Vic,12,2024,Wednesday,16:10:00,Multiple,,,,Very High,,,No,No,26_to_39,Day,Rush,NoHoliday,,,202412,2.0,3.0,2.0,,1.0,3,
20241166,1,NSW,12,2024,Wednesday,17:00:00,Single,No,No,No,Very High,Kyogle,Sub-arterial Road,Yes,No,40_to_64,Day,Not Rush,Christmas,No Heavy Vehicle Involved,14550,202412,1.0,4.0,2.0,5.0,1.0,1,1.0
20247011,1,NT,12,2024,Wednesday,19:05:00,Single,No,No,No,,,,Yes,No,65_to_74,Night,Not Rush,Christmas,No Heavy Vehicle Involved,,202412,1.0,5.0,1.0,,,1,1.0
20243213,1,Qld,11,2024,Friday,02:00:00,Multiple,No,No,Yes,Very High,Bundaberg,National or State Highway,No,No,26_to_39,Night,Not Rush,NoHoliday,Heavy Vehicle Involved,31820,202411,1.0,3.0,1.0,3.0,1.0,3,2.0
20241096,1,NSW,11,2024,Friday,04:44:00,Single,No,No,No,Very High,Tenterfield,National or State Highway,No,No,65_to_74,Night,Not Rush,NoHoliday,No Heavy Vehicle Involved,17400,202411,1.0,5.0,1.0,3.0,1.0,3,1.0
20242089,1,Vic,11,2024,Friday,07:05:00,Multiple,No,No,No,High,Melbourne,Arterial Road,No,No,26_to_39,Day,Rush,NoHoliday,No Heavy Vehicle Involved,24600,202411,2.0,3.0,2.0,1.0,2.0,3,1.0
20245012,1,WA,11,2024,Friday,07:10:00,Single,No,No,No,High,,,No,No,26_to_39,Day,Rush,NoHoliday,No Heavy Vehicle Involved,,202411,2.0,3.0,2.0,,2.0,3,1.0
