lga_code,state,lga_name
58050,WA,Swan
58760,WA,Wanneroo
51330,WA,Canning
53780,WA,Gosnells
57700,WA,Serpentine-Jarrahdale
55110,WA,Mandurah
59320,WA,Woodanilling
52940,WA,Dowerin
54280,WA,Kalgoorlie-Boulder
53800,WA,Greater Geraldton
53990,WA,Harvey
50420,WA,Bayswater
32770,Qld,Doomadgee
32600,Qld,Croydon
50080,WA,Albany
61010,Tas,Central Highlands (Tas.)
51680,WA,Chittering
57000,WA,Perenjori
55810,WA,Mount Magnet
52870,WA,Donnybrook-Balingup
33830,Qld,Hope Vale
50280,WA,Augusta Margaret River
58570,WA,Vincent
59100,WA,Wickepin
51820,WA,Cockburn
58510,WA,Victoria Park
50210,WA,Armadale
51190,WA,Bunbury
54200,WA,Kalamunda
53570,WA,Gingin
55600,WA,Moora
57080,WA,Perth
51260,WA,Busselton
59170,WA,Williams
36150,Qld,Quilpie
54550,WA,Kojonup
55880,WA,Mount Marshall
43360,SA,Kingston (SA)
54310,WA,Karratha
41750,SA,Elliston
51960,WA,Coolgardie
52800,WA,Derby-West Kimberley
56090,WA,Mundaring
50490,WA,Belmont
56860,WA,Nungarin
20910,Vic,Bayside (Vic.)
56730,WA,Northam
55320,WA,Melville
50350,WA,Bassendean
59360,WA,Yilgarn
50980,WA,Broome
51610,WA,Chapman Valley
51080,WA,Broomehill-Tambellup
55250,WA,Meekatharra
53290,WA,Esperance
51400,WA,Capel
53080,WA,Dundas
54900,WA,Lake Grace
52660,WA,Dardanup
54620,WA,Kondinin
54480,WA,Kent
11520,NSW,Canada Bay
58610,WA,Wagin
55180,WA,Manjimup
52730,WA,Denmark
50630,WA,Boddington
51120,WA,Bruce Rock
54760,WA,Kulin
52310,WA,Cuballing
12700,NSW,Dungog
51540,WA,Carnarvon
22980,Vic,Hindmarsh
59340,WA,Wyndham-East Kimberley
50560,WA,Beverley
57420,WA,Ravensthorpe
54170,WA,Joondalup
41330,SA,Coober Pedy
52520,WA,Dalwallinu
53640,WA,Gnowangerup
59310,WA,Wongan-Ballidu
51890,WA,Collie
12160,NSW,Cootamundra-Gundagai
53220,WA,East Pilbara
55390,WA,Menzies
53920,WA,Halls Creek
54060,WA,Irwin
37600,Qld,Yarrabah
57140,WA,Pingelly
52380,WA,Cue
57350,WA,Quairading
35250,Qld,Mornington
58680,WA,Wandering
56300,WA,Nannup
11250,NSW,Broken Hill
56620,WA,Ngaanyatjarraku
52100,WA,Corrigin
40250,SA,Anangu Pitjantjatjara Yunkunytjatjara
53430,WA,Fremantle
58330,WA,Toodyay
47490,SA,Streaky Bay
58540,WA,Victoria Plains
56790,WA,Northampton
50840,WA,Bridgetown-Greenbushes
43220,SA,Kimba
54340,WA,Katanning
54130,WA,Jerramungup
51470,WA,Carnamah
15700,NSW,Nambucca
50250,WA,Ashburton
58890,WA,West Arthur
44620,SA,Mount Gambier
57840,WA,South Perth
50910,WA,Brookton
31950,Qld,Burke
56580,WA,Nedlands
41960,SA,Franklin Harbour
58820,WA,Waroona
52450,WA,Cunderdin
52240,WA,Cranbrook
54410,WA,Kellerberrin
74560,NT,Wagait
37300,Qld,Weipa
36070,Qld,Pormpuraaw
11150,NSW,Bourke
35790,Qld,Palm Island
74680,NT,West Daly
55740,WA,Mosman Park
56460,WA,Narrogin
55460,WA,Merredin
59030,WA,Westonia
55670,WA,Morawa
51750,WA,Claremont
55530,WA,Mingenew
53710,WA,Goomalling
57980,WA,Subiaco
58400,WA,Trayning
57770,WA,Shark Bay
53360,WA,Exmouth
57630,WA,Sandstone
50770,WA,Boyup Brook
52170,WA,Cottesloe
55040,WA,Leonora
