lga_code,year,population
31950,2001,490
32080,2001,115373
32250,2001,2246
32260,2001,29536
32270,2001,24581
32310,2001,12007
32330,2001,1186
32450,2001,3754
32500,2001,3636
32600,2001,282
32750,2001,320
32770,2001,1178
32810,2001,10264
33100,2001,997
33200,2001,2050
33220,2001,72781
33360,2001,45479
33430,2001,379679
33610,2001,10219
33620,2001,38062
33800,2001,12172
33830,2001,875
33960,2001,123934
33980,2001,18169
34420,2001,999
34530,2001,25863
34570,2001,638
34580,2001,28213
34590,2001,234351
34710,2001,4537
34770,2001,89337
34800,2001,1045
34830,2001,205
34860,2001,12368
34880,2001,18125
35010,2001,283062
35250,2001,991
35300,2001,20743
35600,2001,4936
35670,2001,785
35740,2001,43496
35760,2001,10450
35780,2001,2055
35790,2001,2269
35800,2001,2172
36070,2001,618
36150,2001,1086
36250,2001,115832
36300,2001,1128
36370,2001,70480
36510,2001,30030
36580,2001,17866
36630,2001,27651
36660,2001,31064
36720,2001,198931
36820,2001,21894
36910,2001,134955
36950,2001,3531
36960,2001,4244
37010,2001,142012
37300,2001,2131
37310,2001,28715
37340,2001,27396
37400,2001,1585
37550,2001,1014
37570,2001,366
37600,2001,2236
40070,2001,13211
40120,2001,38549
40150,2001,7354
40220,2001,18091
40250,2001,2661
40310,2001,19418
40430,2001,2585
40520,2001,11273
40700,2001,42403
40910,2001,46544
41010,2001,3625
41060,2001,102897
41140,2001,8347
41190,2001,1939
41330,2001,2414
41560,2001,10988
41750,2001,1150
41830,2001,1804
41960,2001,1250
42030,2001,18235
42110,2001,4254
42250,2001,7359
42600,2001,33490
42750,2001,4227
43080,2001,1276
43220,2001,1229
43360,2001,2339
43650,2001,10494
43710,2001,4200
43790,2001,12197
44000,2001,136
44060,2001,78590
44210,2001,8376
44340,2001,62010
44550,2001,23664
44620,2001,23750
44830,2001,2998
45040,2001,17023
45090,2001,8239
45120,2001,4765
45290,2001,33546
45340,2001,150119
45400,2001,1013
45540,2001,2014
45680,2001,68247
45890,2001,101371
46090,2001,13700
46300,2001,13842
46450,2001,17568
46510,2001,19106
46670,2001,9793
46860,2001,1379
46970,2001,3618
47140,2001,113849
47290,2001,2300
47490,2001,1981
47630,2001,7032
47700,2001,99121
47800,2001,5893
47910,2001,2580
47980,2001,36405
48050,2001,11062
48130,2001,6576
48260,2001,6995
48340,2001,12234
48410,2001,52056
48540,2001,22049
48640,2001,1449
48750,2001,3832
48830,2001,11466
49399,2001,5911
50080,2001,31362
50210,2001,52391
50250,2001,5969
50280,2001,10228
50350,2001,14055
50420,2001,58446
50490,2001,29919
50560,2001,1579
50630,2001,1437
50770,2001,1649
50840,2001,4205
50910,2001,1048
50980,2001,13249
51080,2001,1260
51120,2001,1132
51190,2001,30616
51260,2001,23192
51310,2001,24433
51330,2001,77474
51400,2001,7136
51470,2001,807
51540,2001,6751
51610,2001,880
51680,2001,2948
51710,2001,1442
51750,2001,9166
51820,2001,69359
51860,2001,600
51890,2001,9109
51960,2001,4284
52030,2001,1381
52100,2001,1302
52170,2001,7428
52240,2001,1072
52310,2001,725
52380,2001,396
52450,2001,1457
52520,2001,1889
52590,2001,2952
52660,2001,8991
52730,2001,4734
52800,2001,8501
52870,2001,4710
52940,2001,840
53010,2001,753
53080,2001,1262
53150,2001,6787
53220,2001,5650
53290,2001,13369
53360,2001,2315
53430,2001,25769
53570,2001,4274
53640,2001,1585
53710,2001,970
53780,2001,83662
53800,2001,34019
53920,2001,3766
53990,2001,18526
54060,2001,3071
54130,2001,1249
54170,2001,156410
54200,2001,48743
54280,2001,29771
54310,2001,15118
54340,2001,4501
54410,2001,1221
54480,2001,641
54550,2001,2308
54620,2001,1033
54690,2001,490
54760,2001,910
54830,2001,21807
54900,2001,1615
54970,2001,1207
55040,2001,2007
55110,2001,48996
55180,2001,10351
55250,2001,1458
55320,2001,97202
55390,2001,350
55460,2001,3783
55530,2001,586
55600,2001,2705
55670,2001,989
55740,2001,8358
55810,2001,854
55880,2001,676
55950,2001,705
56090,2001,35415
56160,2001,161
56230,2001,10899
56300,2001,1223
56370,2001,963
56460,2001,5541
56580,2001,21564
56620,2001,1562
56730,2001,10284
56790,2001,3347
56860,2001,276
56930,2001,1653
57000,2001,615
57080,2001,10510
57140,2001,1217
57210,2001,4707
57280,2001,12881
57350,2001,1140
57420,2001,1510
57490,2001,74185
57630,2001,134
57700,2001,11733
57770,2001,926
57840,2001,37606
57910,2001,176209
57980,2001,12948
58050,2001,83797
58190,2001,443
58260,2001,754
58330,2001,4084
58400,2001,394
58470,2001,356
58510,2001,27751
58540,2001,974
58570,2001,27071
58610,2001,1879
58680,2001,333
58760,2001,84323
58820,2001,3538
58890,2001,910
59030,2001,249
59100,2001,747
59170,2001,959
59250,2001,902
59310,2001,1599
59320,2001,396
59330,2001,678
59340,2001,7240
59350,2001,326
59360,2001,1832
59370,2001,3246
60210,2001,5839
60410,2001,12857
60610,2001,19077
60810,2001,21242
61010,2001,2339
61210,2001,8128
61410,2001,49370
61510,2001,9372
61610,2001,24502
61810,2001,7413
62010,2001,896
62210,2001,6557
62410,2001,4029
62610,2001,43805
62810,2001,47232
63010,2001,13987
63210,2001,5555
63410,2001,1741
63610,2001,29285
63810,2001,8324
64010,2001,62966
64210,2001,18248
64610,2001,12047
64810,2001,10955
65010,2001,5788
65210,2001,2282
65410,2001,13765
65610,2001,5572
65810,2001,20495
70200,2001,26849
70420,2001,7315
70540,2001,230
70620,2001,4678
70700,2001,1125
71000,2001,69635
71150,2001,0
71300,2001,8519
72200,2001,9706
72300,2001,15782
72330,2001,6675
72800,2001,22868
73600,2001,6327
74050,2001,2523
74550,2001,3452
74560,2001,248
74660,2001,6241
74680,2001,2543
79399,2001,7027
89399,2001,321538
99399,2001,542
10050,2002,45816
10180,2002,27774
10250,2002,38417
10300,2002,2703
10470,2002,35831
10500,2002,129377
10550,2002,30790
10600,2002,12673
10650,2002,8058
10750,2002,267048
10800,2002,6529
10850,2002,6545
10900,2002,76656
10950,2002,3105
11150,2002,3781
11200,2002,2121
11250,2002,20681
11300,2002,30682
11350,2002,29697
11400,2002,12478
11450,2002,47176
11500,2002,149096
11520,2002,63077
11570,2002,307011
11600,2002,3246
11650,2002,297530
11700,2002,2326
11720,2002,47024
11730,2002,48415
11750,2002,4984
11800,2002,63553
12000,2002,4078
12150,2002,4690
12160,2002,11357
12350,2002,12922
12380,2002,171580
12390,2002,47162
12700,2002,8321
12730,2002,9958
12750,2002,34239
12850,2002,187089
12870,2002,12141
12900,2002,9995
12930,2002,126520
12950,2002,4730
13010,2002,8848
13310,2002,26526
13340,2002,10331
13450,2002,24377
13550,2002,12193
13660,2002,5652
13800,2002,62515
13850,2002,3616
13910,2002,18022
14000,2002,134068
14100,2002,13412
14170,2002,166368
14220,2002,16867
14300,2002,5869
14350,2002,27327
14400,2002,19841
14500,2002,106778
14550,2002,9686
14600,2002,7529
14650,2002,187385
14700,2002,31749
14750,2002,11807
14850,2002,42749
14870,2002,20442
14900,2002,161908
14920,2002,7940
14950,2002,3470
15050,2002,57642
15240,2002,82081
15270,2002,22002
15300,2002,15834
15350,2002,27644
15520,2002,10994
15560,2002,4485
15650,2002,15339
15700,2002,18005
15750,2002,14244
15800,2002,6580
15850,2002,6980
15900,2002,142220
15950,2002,58816
15990,2002,230170
16100,2002,5269
16150,2002,36728
16200,2002,14901
16260,2002,171245
16350,2002,176829
16380,2002,66573
16400,2002,59506
16490,2002,45669
16550,2002,124390
16610,2002,21213
16700,2002,98711
16900,2002,60054
16950,2002,88055
17000,2002,21356
17040,2002,19571
17080,2002,15018
17100,2002,29578
17150,2002,212978
17200,2002,136368
17310,2002,53831
17350,2002,6221
17400,2002,6808
17420,2002,122269
17550,2002,75711
17620,2002,13415
17640,2002,7203
17650,2002,6002
17750,2002,56718
17850,2002,3270
17900,2002,8049
17950,2002,3201
18020,2002,10620
18050,2002,62832
18100,2002,3798
18200,2002,7078
18250,2002,62785
18350,2002,42980
18400,2002,38513
18450,2002,189851
18500,2002,52792
18710,2002,12366
19399,2002,1189
20110,2002,12655
20260,2002,11566
20570,2002,83168
20660,2002,117559
20740,2002,25809
20830,2002,35990
20910,2002,88717
21010,2002,13897
21110,2002,156886
21180,2002,168499
21270,2002,7171
21370,2002,36247
21450,2002,47840
21610,2002,188914
21670,2002,12835
21750,2002,20689
21830,2002,17232
21890,2002,127359
22110,2002,39112
22170,2002,114262
22250,2002,11783
22310,2002,123197
22410,2002,20065
22490,2002,15119
22620,2002,90176
22670,2002,127336
22750,2002,194713
22830,2002,57996
22910,2002,14192
22980,2002,6452
23110,2002,83124
23190,2002,18326
23270,2002,137854
23350,2002,14603
23430,2002,134216
23670,2002,147952
23810,2002,69575
23940,2002,8390
24130,2002,37605
24210,2002,113422
24250,2002,6757
24330,2002,61557
24410,2002,99999
24600,2002,60415
24650,2002,57724
24700,2002,136156
24780,2002,49405
24850,2002,28179
24900,2002,26437
24970,2002,162430
25060,2002,104856
25150,2002,24943
25340,2002,133997
25430,2002,16968
25490,2002,15578
25620,2002,13349
25710,2002,60501
25810,2002,12793
25900,2002,82220
25990,2002,6546
26080,2002,3196
26170,2002,25786
26260,2002,16862
26350,2002,90370
26430,2002,9538
26490,2002,21001
26610,2002,21065
26670,2002,6196
26700,2002,26341
26730,2002,29658
26810,2002,40671
26890,2002,4749
26980,2002,146110
27070,2002,119629
27170,2002,32481
27260,2002,90333
27350,2002,69415
27450,2002,142449
27630,2002,8095
29399,2002,516
30250,2002,1109
30300,2002,5336
30370,2002,15328
30410,2002,3482
30450,2002,437
30760,2002,2327
30900,2002,534
31000,2002,908289
31750,2002,445
31820,2002,78571
31900,2002,18038
31950,2002,496
32080,2002,117266
32250,2002,2253
32260,2002,29447
32270,2002,25054
32310,2002,11962
32330,2002,1191
32450,2002,3664
32500,2002,3650
32600,2002,277
32750,2002,313
32770,2002,1166
32810,2002,10442
33100,2002,972
33200,2002,2016
33220,2002,74299
33360,2002,46592
33430,2002,394631
33610,2002,10297
33620,2002,38549
33800,2002,12046
33830,2002,867
33960,2002,126116
33980,2002,18590
34420,2002,1012
34530,2002,26488
34570,2002,623
34580,2002,28813
34590,2002,239515
34710,2002,4545
34770,2002,91554
34800,2002,1033
34830,2002,213
34860,2002,12383
34880,2002,18236
35010,2002,291543
35250,2002,999
35300,2002,20276
35600,2002,4892
35670,2002,799
35740,2002,44893
35760,2002,10408
35780,2002,2058
35790,2002,2249
35800,2002,2127
36070,2002,622
36150,2002,1064
36250,2002,118870
36300,2002,1090
36370,2002,70909
36510,2002,30715
36580,2002,18117
36630,2002,27942
36660,2002,31361
36720,2002,205772
36820,2002,22201
36910,2002,136619
36950,2002,3560
36960,2002,4314
37010,2002,145115
37300,2002,2241
37310,2002,28711
37340,2002,27996
37400,2002,1567
37550,2002,987
37570,2002,361
37600,2002,2278
40070,2002,13857
40120,2002,38681
40150,2002,7509
40220,2002,18689
40250,2002,2599
40310,2002,19619
40430,2002,2600
40520,2002,11244
40700,2002,42609
40910,2002,46661
41010,2002,3643
41060,2002,102884
41140,2002,8378
41190,2002,1958
41330,2002,2298
41560,2002,11054
41750,2002,1161
41830,2002,1791
41960,2002,1249
42030,2002,18459
42110,2002,4278
42250,2002,7436
42600,2002,33447
42750,2002,4312
43080,2002,1258
43220,2002,1209
43360,2002,2349
43650,2002,10936
43710,2002,4269
43790,2002,12171
44000,2002,132
44060,2002,78960
44210,2002,8357
44340,2002,62304
44550,2002,24425
44620,2002,23863
44830,2002,2956
45040,2002,17239
45090,2002,8311
45120,2002,4761
45290,2002,33915
45340,2002,150642
45400,2002,1010
45540,2002,2009
45680,2002,68767
45890,2002,102167
46090,2002,13701
46300,2002,13896
46450,2002,17608
46510,2002,19304
46670,2002,9832
46860,2002,1385
46970,2002,3801
47140,2002,114841
47290,2002,2262
47490,2002,1997
47630,2002,7067
47700,2002,99116
47800,2002,5915
47910,2002,2586
47980,2002,36491
48050,2002,11374
48130,2002,6586
48260,2002,7023
48340,2002,12287
48410,2002,52338
48540,2002,22009
48640,2002,1438
48750,2002,3914
48830,2002,11492
49399,2002,4878
50080,2002,31713
50210,2002,52204
50250,2002,6138
50280,2002,10346
50350,2002,14165
50420,2002,58432
50490,2002,30273
50560,2002,1586
50630,2002,1408
50770,2002,1654
50840,2002,4262
50910,2002,1034
50980,2002,13606
51080,2002,1245
51120,2002,1100
51190,2002,30483
51260,2002,23843
51310,2002,24534
51330,2002,78496
51400,2002,7562
51470,2002,791
51540,2002,6689
51610,2002,874
51680,2002,3060
51710,2002,1365
51750,2002,9220
51820,2002,70968
51860,2002,568
51890,2002,9173
51960,2002,4240
52030,2002,1378
52100,2002,1292
52170,2002,7487
52240,2002,1084
52310,2002,727
52380,2002,396
52450,2002,1426
52520,2002,1814
52590,2002,2946
52660,2002,9220
52730,2002,4790
52800,2002,8422
52870,2002,4691
52940,2002,806
53010,2002,738
53080,2002,1240
53150,2002,6907
53220,2002,5909
53290,2002,13443
53360,2002,2277
53430,2002,26099
53570,2002,4381
53640,2002,1554
53710,2002,967
53780,2002,85337
53800,2002,34288
53920,2002,3796
53990,2002,18450
54060,2002,2976
54130,2002,1247
54170,2002,156820
54200,2002,49063
54280,2002,29737
54310,2002,15987
54340,2002,4492
54410,2002,1211
54480,2002,618
54550,2002,2291
54620,2002,1030
54690,2002,488
54760,2002,906
54830,2002,22045
54900,2002,1597
54970,2002,1117
55040,2002,1914
55110,2002,49601
55180,2002,10237
55250,2002,1413
55320,2002,97184
55390,2002,336
55460,2002,3715
55530,2002,585
55600,2002,2697
55670,2002,971
55740,2002,8476
55810,2002,845
55880,2002,669
55950,2002,697
56090,2002,35660
56160,2002,157
56230,2002,11211
56300,2002,1235
56370,2002,964
56460,2002,5544
56580,2002,21630
56620,2002,1533
56730,2002,10302
56790,2002,3358
56860,2002,273
56930,2002,1651
57000,2002,593
57080,2002,11245
57140,2002,1214
57210,2002,4658
57280,2002,13201
57350,2002,1137
57420,2002,1543
57490,2002,75802
57630,2002,134
57700,2002,11931
57770,2002,925
57840,2002,38357
57910,2002,177345
57980,2002,13137
58050,2002,86092
58190,2002,439
58260,2002,741
58330,2002,4142
58400,2002,395
58470,2002,356
58510,2002,27970
58540,2002,973
58570,2002,27450
58610,2002,1895
58680,2002,350
58760,2002,88442
58820,2002,3506
58890,2002,911
59030,2002,241
59100,2002,749
59170,2002,955
59250,2002,876
59310,2002,1563
59320,2002,400
59330,2002,680
59340,2002,7406
59350,2002,316
59360,2002,1778
59370,2002,3217
60210,2002,5884
60410,2002,12947
60610,2002,19090
60810,2002,21119
61010,2002,2330
61210,2002,8105
61410,2002,49289
61510,2002,9346
61610,2002,24347
61810,2002,7367
62010,2002,889
62210,2002,6603
62410,2002,4027
62610,2002,43729
62810,2002,47409
63010,2002,14051
63210,2002,5560
63410,2002,1730
63610,2002,29433
63810,2002,8391
64010,2002,63113
64210,2002,18348
64610,2002,12109
64810,2002,11031
65010,2002,5809
65210,2002,2282
65410,2002,13726
65610,2002,5459
65810,2002,20629
70200,2002,26775
70420,2002,7346
70540,2002,223
70620,2002,4641
70700,2002,1140
71000,2002,69286
71150,2002,0
71300,2002,8640
72200,2002,9648
72300,2002,15900
72330,2002,6756
72800,2002,23497
73600,2002,6334
74050,2002,2490
74550,2002,3430
74560,2002,263
74660,2002,6198
74680,2002,2612
79399,2002,7072
89399,2002,324627
99399,2002,464
10050,2003,46180
10180,2003,27610
10250,2003,38870
10300,2003,2661
10470,2003,36084
10500,2003,130598
10550,2003,31056
10600,2003,12705
10650,2003,8035
10750,2003,268806
10800,2003,6453
10850,2003,6562
10900,2003,76651
10950,2003,3052
11150,2003,3642
11200,2003,2078
11250,2003,20403
11300,2003,30980
11350,2003,29952
11400,2003,12482
11450,2003,48445
11500,2003,148739
11520,2003,64060
11570,2003,306316
11600,2003,3143
11650,2003,299319
11700,2003,2218
11720,2003,47181
11730,2003,48509
11750,2003,4949
11800,2003,64574
12000,2003,4072
12150,2003,4578
12160,2003,11292
12350,2003,12849
12380,2003,172359
12390,2003,47060
12700,2003,8312
12730,2003,9798
12750,2003,34855
12850,2003,186489
12870,2003,12184
12900,2003,9907
12930,2003,127183
12950,2003,4706
13010,2003,8870
13310,2003,26576
13340,2003,10189
13450,2003,24277
13550,2003,12036
13660,2003,5573
13800,2003,62530
13850,2003,3582
13910,2003,18031
14000,2003,134991
14100,2003,13512
14170,2003,166127
14220,2003,16852
14300,2003,5861
14350,2003,27466
14400,2003,19836
14500,2003,106559
14550,2003,9590
14600,2003,7366
14650,2003,188171
14700,2003,31695
14750,2003,11755
14850,2003,42681
14870,2003,20418
14900,2003,163835
14920,2003,7859
14950,2003,3404
15050,2003,59167
15240,2003,83014
15270,2003,21862
15300,2003,15457
15350,2003,27680
15520,2003,10966
15560,2003,4402
15650,2003,15402
15700,2003,17849
15750,2003,14050
15800,2003,6433
15850,2003,6863
15900,2003,143613
15950,2003,59583
15990,2003,230208
16100,2003,5243
16150,2003,36721
16200,2003,14807
16260,2003,172927
16350,2003,176610
16380,2003,67960
16400,2003,60410
16490,2003,47142
16550,2003,124252
16610,2003,21213
16700,2003,98929
16900,2003,60815
16950,2003,88861
17000,2003,21671
17040,2003,19710
17080,2003,15052
17100,2003,30256
17150,2003,212719
17200,2003,145079
17310,2003,54016
17350,2003,6123
17400,2003,6709
17420,2003,126698
17550,2003,77868
17620,2003,13335
17640,2003,7195
17650,2003,5912
17750,2003,56897
17850,2003,3257
17900,2003,7800
17950,2003,3111
18020,2003,10446
18050,2003,62778
18100,2003,3768
18200,2003,7009
18250,2003,63389
18350,2003,43257
18400,2003,39215
18450,2003,190475
18500,2003,52998
18710,2003,12772
19399,2003,1162
20110,2003,12581
20260,2003,11536
20570,2003,84190
20660,2003,117313
20740,2003,26224
20830,2003,36283
20910,2003,89088
21010,2003,13878
21110,2003,157298
21180,2003,169424
21270,2003,7102
21370,2003,36457
21450,2003,50038
21610,2003,198652
21670,2003,12732
21750,2003,20697
21830,2003,17027
21890,2003,127711
22110,2003,39329
22170,2003,115483
22250,2003,11661
22310,2003,123816
22410,2003,20039
22490,2003,15477
22620,2003,91513
22670,2003,127060
22750,2003,196973
22830,2003,58379
22910,2003,14114
22980,2003,6361
23110,2003,83107
23190,2003,18340
23270,2003,140995
23350,2003,14710
23430,2003,135191
23670,2003,149038
23810,2003,69633
23940,2003,8284
24130,2003,37942
24210,2003,113434
24250,2003,6807
24330,2003,62516
24410,2003,100177
24600,2003,65954
24650,2003,63837
24700,2003,136630
24780,2003,49534
24850,2003,29158
24900,2003,26583
24970,2003,162824
25060,2003,104629
25150,2003,25197
25340,2003,135620
25430,2003,17153
25490,2003,15605
25620,2003,13395
25710,2003,60452
25810,2003,12616
25900,2003,84170
25990,2003,6551
26080,2003,3158
26170,2003,25910
26260,2003,16880
26350,2003,91034
26430,2003,9564
26490,2003,21292
26610,2003,21064
26670,2003,6148
26700,2003,26378
26730,2003,29998
26810,2003,40533
26890,2003,4707
26980,2003,146036
27070,2003,122215
27170,2003,32995
27260,2003,95776
27350,2003,70115
27450,2003,142928
27630,2003,7982
29399,2003,578
30250,2003,1100
30300,2003,5174
30370,2003,15136
30410,2003,3388
30450,2003,408
30760,2003,2218
30900,2003,502
31000,2003,930535
31750,2003,429
31820,2003,79559
31900,2003,17846
31950,2003,501
32080,2003,120286
32250,2003,2242
32260,2003,29438
32270,2003,25540
32310,2003,11939
32330,2003,1197
32450,2003,3552
32500,2003,3611
32600,2003,274
32750,2003,301
32770,2003,1154
32810,2003,10522
33100,2003,941
33200,2003,2017
33220,2003,77048
33360,2003,47860
33430,2003,410545
33610,2003,10326
33620,2003,39389
33800,2003,12004
33830,2003,850
33960,2003,128646
33980,2003,19050
34420,2003,1016
34530,2003,27280
34570,2003,607
34580,2003,29078
34590,2003,244076
34710,2003,4447
34770,2003,93642
34800,2003,993
34830,2003,224
34860,2003,12436
34880,2003,18307
35010,2003,302027
35250,2003,1046
35300,2003,19997
35600,2003,4848
35670,2003,819
35740,2003,46063
35760,2003,10415
35780,2003,2069
35790,2003,2202
35800,2003,2106
36070,2003,622
36150,2003,1045
36250,2003,122994
36300,2003,1062
36370,2003,71499
36510,2003,31930
36580,2003,18361
36630,2003,28251
36660,2003,31593
36720,2003,214931
36820,2003,22502
36910,2003,138528
36950,2003,3544
36960,2003,4387
37010,2003,147964
37300,2003,2367
37310,2003,28636
37340,2003,28491
37400,2003,1543
37550,2003,966
37570,2003,356
37600,2003,2323
40070,2003,14533
40120,2003,38829
40150,2003,7710
40220,2003,19297
40250,2003,2543
40310,2003,19920
40430,2003,2596
40520,2003,11226
40700,2003,42730
40910,2003,46801
41010,2003,3665
41060,2003,102776
41140,2003,8335
41190,2003,1968
41330,2003,2220
41560,2003,11144
41750,2003,1170
41830,2003,1785
41960,2003,1248
42030,2003,18593
42110,2003,4261
42250,2003,7512
42600,2003,33653
42750,2003,4303
43080,2003,1233
43220,2003,1200
43360,2003,2354
43650,2003,11491
43710,2003,4281
43790,2003,12153
44000,2003,129
44060,2003,79250
44210,2003,8337
44340,2003,62801
44550,2003,25140
44620,2003,24096
44830,2003,2937
45040,2003,17427
45090,2003,8314
45120,2003,4770
45290,2003,34125
45340,2003,150926
45400,2003,1009
45540,2003,2010
45680,2003,69311
45890,2003,103051
46090,2003,13998
46300,2003,13992
46450,2003,17536
46510,2003,19472
46670,2003,9674
46860,2003,1386
46970,2003,3930
47140,2003,116172
47290,2003,2229
47490,2003,2002
47630,2003,7115
47700,2003,99126
47800,2003,5880
47910,2003,2592
47980,2003,36668
48050,2003,11664
48130,2003,6552
48260,2003,7061
48340,2003,12242
48410,2003,52564
48540,2003,21970
48640,2003,1417
48750,2003,3959
48830,2003,11519
49399,2003,4516
50080,2003,32020
50210,2003,52049
50250,2003,6467
50280,2003,10639
50350,2003,14030
50420,2003,58494
50490,2003,30358
50560,2003,1618
50630,2003,1373
50770,2003,1622
50840,2003,4175
50910,2003,1040
50980,2003,13837
51080,2003,1237
51120,2003,1097
51190,2003,30382
51260,2003,24265
51310,2003,24594
51330,2003,79186
51400,2003,8005
51470,2003,797
51540,2003,6571
51610,2003,891
51680,2003,3138
51710,2003,1337
51750,2003,9247
51820,2003,72207
51860,2003,558
51890,2003,9206
51960,2003,4221
52030,2003,1389
52100,2003,1264
52170,2003,7523
52240,2003,1102
52310,2003,754
52380,2003,376
52450,2003,1406
52520,2003,1705
52590,2003,2949
52660,2003,9415
52730,2003,4837
52800,2003,7801
52870,2003,4660
52940,2003,771
53010,2003,716
53080,2003,1223
53150,2003,6971
53220,2003,6171
53290,2003,13569
53360,2003,2282
53430,2003,26100
53570,2003,4461
53640,2003,1523
53710,2003,965
53780,2003,87585
53800,2003,34348
53920,2003,3793
53990,2003,18351
54060,2003,2943
54130,2003,1237
54170,2003,157067
54200,2003,49419
54280,2003,30052
54310,2003,16998
54340,2003,4460
54410,2003,1212
54480,2003,629
54550,2003,2300
54620,2003,1023
54690,2003,491
54760,2003,910
54830,2003,22403
54900,2003,1582
54970,2003,1033
55040,2003,1855
55110,2003,51860
55180,2003,10074
55250,2003,1374
55320,2003,97002
55390,2003,309
55460,2003,3656
55530,2003,583
55600,2003,2683
55670,2003,957
55740,2003,8590
55810,2003,831
55880,2003,670
55950,2003,689
56090,2003,35820
56160,2003,150
56230,2003,11611
56300,2003,1237
56370,2003,977
56460,2003,5550
56580,2003,21634
56620,2003,1506
56730,2003,10267
56790,2003,3355
56860,2003,269
56930,2003,1656
57000,2003,584
57080,2003,11729
57140,2003,1215
57210,2003,4622
57280,2003,13555
57350,2003,1130
57420,2003,1562
57490,2003,77718
57630,2003,132
57700,2003,12200
57770,2003,921
57840,2003,38944
57910,2003,178865
57980,2003,13431
58050,2003,88350
58190,2003,439
58260,2003,740
58330,2003,4147
58400,2003,403
